session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
5fea150e51617796788e7378,5f179bd584e8e802ef9c187d,APPROVED,2020-12-28 17:25:36.911000,2020-12-28 17:33:57.291000,500.38,53,416,2,100,2020-12-28 20:43:26.624000,66C39AD6,United Kingdom,United States,Full-Time,White,English,United States,Male,No
5fea15538f62109702db25c7,59c0a297c458e800017b5499,APPROVED,2020-12-28 17:26:54.890000,2020-12-28 17:36:28.578000,573.688,51,941,1,100,2020-12-28 20:43:31.163000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea1595eb52709cfb1911f0,5c22f28d70d93a0001201738,APPROVED,2020-12-28 17:27:53.764000,2020-12-28 17:39:41.430000,707.666,55,1099,2,100,2020-12-28 20:43:42.900000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea15c2fef4d19695a44fc1,595fdaa1d82b180001c6e460,APPROVED,2020-12-28 17:28:37.883000,2020-12-28 17:37:20.548000,522.665,53,906,3,100,2020-12-28 20:43:50.136000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea15c4c274b39be8f2a4f4,5ca6bbf13b5fcf00100996e9,APPROVED,2020-12-28 17:28:55.926000,2020-12-28 17:36:13.216000,437.29,55,958,6,99,2020-12-28 20:43:56.563000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea15f23803bb9c1ff7d5bd,5bdcd88176d6d50001bc3849,APPROVED,2020-12-28 17:29:25.616000,2020-12-28 17:38:52.528000,566.912,55,797,1,100,2020-12-28 20:44:02.707000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
5fea15f8d42dc5974769f1b1,5fd63da4d997394f28dfdd2e,APPROVED,2020-12-28 17:31:07.120000,2020-12-28 18:04:03.189000,1976.069,50,43,0,100,2020-12-28 20:44:12.369000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,DATA EXPIRED
5fea1613fdb6e69d0d2581d5,5c9293accd8dd00001d0b129,APPROVED,2020-12-28 17:30:01.311000,2020-12-28 17:37:59.113000,477.802,50,1031,4,100,2020-12-28 20:44:19.755000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea16562b78a597735532ba,5c9e65d52707e10001a00524,APPROVED,2020-12-28 17:31:02.108000,2020-12-28 17:37:16.367000,374.259,58,1024,4,100,2020-12-28 20:44:26.437000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
5fea16a0c2bdeb9d89dbaf41,5c4de8f726093e000134ee6e,APPROVED,2020-12-28 17:32:16.747000,2020-12-28 17:37:55.062000,338.315,53,1206,3,100,2020-12-28 20:44:52.933000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea170cfd725a9d44a863d6,5fd6085778adf949668babe9,APPROVED,2020-12-28 17:34:10.971000,2020-12-28 18:05:34.929000,1883.958,52,35,1,98,2020-12-28 20:45:08.048000,66C39AD6,United States,,Full-Time,White,,United States,Male,
5fea171b0d786d4de353ec8f,5d36600685d1d50001affacb,TIMED-OUT,2020-12-28 17:34:19.439000,,331249.656436,51,878,4,99,,,United States,United States,Due to start a new job within the next month,White,English,United States,Male,No
5fea17e0509c7e1d28ce41ab,5fd5d325251e254327abd9e3,APPROVED,2020-12-28 17:37:41.514000,2020-12-28 17:42:40.485000,298.971,49,24,0,100,2020-12-28 20:45:15.098000,66C39AD6,United States,,Full-Time,White,,United States,Male,No
5fea17ff50c73d9c36e38bf5,5fddab1eadaa094807da1403,APPROVED,2020-12-28 17:38:31.660000,2020-12-28 18:00:31.582000,1319.922,52,17,0,100,2020-12-28 20:45:18.146000,66C39AD6,United States,,Full-Time,White,,United States,Male,
5fea185e9568d5970242bf9d,5e890b0a3fca4e5a713d7eba,APPROVED,2020-12-28 17:39:47.747000,2020-12-28 17:44:30.217000,282.47,57,453,4,99,2020-12-28 20:45:26.701000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea190f7b84d34f1d509b6a,5f3b5b6ab7b6dd85e7094c5b,APPROVED,2020-12-28 17:42:50.782000,2020-12-28 18:02:15.753000,1164.971,50,59,2,97,2020-12-28 20:45:31.768000,66C39AD6,United States,United States,DATA EXPIRED,White,DATA EXPIRED,United States,Male,No
5fea195c1976289bf7b39411,559fa17cfdf99b69c369d364,APPROVED,2020-12-28 17:43:59.271000,2020-12-28 17:52:50.003000,530.732,49,591,3,100,2020-12-28 20:45:54.470000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1995fdb6e69c26441cbd,5eb02b75d2a3d708e31803b8,APPROVED,2020-12-28 17:44:56.576000,2020-12-28 17:49:16.923000,260.347,51,242,1,100,2020-12-28 20:46:05.767000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea1a02e4785a4e8a2719f7,5dc59aea37023940a0860dea,APPROVED,2020-12-28 17:46:41.979000,2020-12-28 17:58:45.915000,723.936,52,871,0,100,2020-12-28 20:46:14.440000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea1a4e539a389dc0cfc462,5fc7a6aaa7646c0009521161,APPROVED,2020-12-28 17:48:07.353000,2020-12-28 17:52:47.537000,280.184,49,62,0,100,2020-12-28 20:46:26.219000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea1ab84cfb7d4f352bf595,5d47abcc2dc88900166f27c9,APPROVED,2020-12-28 17:56:16.206000,2020-12-28 18:04:11.487000,475.281,54,889,6,99,2020-12-28 20:46:29.415000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1b1e26fd084d7fde91e5,5eaf02446c144d5e3a4d4562,APPROVED,2020-12-28 17:53:28.332000,2020-12-28 18:05:36.021000,727.689,50,490,0,100,2020-12-28 20:46:35.073000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1b29fd62fb990c3397df,5bf9bd81549c180001dab194,APPROVED,2020-12-28 17:51:43.738000,2020-12-28 17:58:55,431.262,55,1003,2,100,2020-12-28 20:46:39.821000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1b677b84d34ea76554fd,5df040fa82b88c0a7c698dd8,APPROVED,2020-12-28 17:52:43.970000,2020-12-28 17:57:53.251000,309.281,52,600,4,99,2020-12-28 20:46:52.808000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1beb351a264dc5d97e79,5ea74af289f0ea126ec7f148,APPROVED,2020-12-28 17:54:57.028000,2020-12-28 18:09:49.010000,891.982,49,281,0,100,2020-12-28 20:46:57.806000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1c4f173bfb4e296d7490,5ec65717c3f23402bd723985,APPROVED,2020-12-28 17:56:34.983000,2020-12-28 17:59:18.804000,163.821,51,213,0,100,2020-12-28 20:47:08.294000,66C39AD6,United States,United States,Part-Time,White,English,United States,Male,No
5fea1ce6173bfb4f1d76e10b,5e128be453b56e910ed08c39,APPROVED,2020-12-28 17:59:05.444000,2020-12-28 18:04:04.346000,298.902,50,568,0,100,2020-12-28 20:47:21.929000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1d260479d74ebb8f8f3c,5cfeea9c4954fe00165895e0,RETURNED,2020-12-28 18:00:09.850000,,329701.950724,51,886,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fea1d8fad8fba9e5828dd33,5dd438b65a40f24302c09c2d,RETURNED,2020-12-28 18:01:55.046000,,329596.754805,54,789,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fea1da10b03ab1cd9ba266f,5fc838109e99f3178d83db35,APPROVED,2020-12-28 18:02:16.043000,2020-12-28 18:18:33.554000,977.511,54,60,0,100,2020-12-28 20:47:36.786000,66C39AD6,United States,,Unemployed (and job seeking),White,,United States,Male,No
5fea1db4eb52709df5e8bbd0,5daa18ed95be5f00133609e8,APPROVED,2020-12-28 18:02:28.767000,2020-12-28 18:22:00.123000,1171.356,51,725,1,100,2020-12-28 20:47:44.746000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1f01509c7e1daa5138bc,5fdb7f0df0fc1a90bd4ff9e1,APPROVED,2020-12-28 18:08:08.931000,2020-12-28 18:15:56.078000,467.147,52,23,0,100,2020-12-28 20:48:22.672000,66C39AD6,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea1f280b03ab1c627fd3cc,558a327cfdf99b2d75651681,APPROVED,2020-12-28 18:08:45.160000,2020-12-28 18:15:24.712000,399.552,54,2118,0,100,2020-12-28 20:48:25.650000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea1f63b5d1fc9d9ce547cd,5d79156e0c89aa0001026dc8,APPROVED,2020-12-28 18:09:44.683000,2020-12-28 18:18:20.727000,516.044,58,539,5,99,2020-12-28 20:48:36.649000,66C39AD6,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Male,No
5fea1fc9fd725a9f94ee2d00,5fdbd887bf7c820d35343387,APPROVED,2020-12-28 18:11:26.144000,2020-12-28 18:19:59.018000,512.874,53,29,0,100,2020-12-28 20:48:52.488000,66C39AD6,DATA EXPIRED,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
5fea1fede7fadb9e5eefc6e5,5dea76e109c1071948aed0ff,APPROVED,2020-12-28 18:12:03.193000,2020-12-28 18:19:10.094000,426.901,50,601,0,100,2020-12-28 20:48:55.542000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea203e0538db504448eae4,5dd1843cfd5b281f1e24d5c5,APPROVED,2020-12-28 18:13:23.877000,2020-12-28 18:23:34.634000,610.757,49,697,1,100,2020-12-28 20:49:10.241000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea216dcb429d1c0bf62e6e,5d2f054b1dde3600015e43d9,APPROVED,2020-12-28 18:18:21.892000,2020-12-28 18:29:21.685000,659.793,49,589,2,100,2020-12-28 20:49:35.130000,66C39AD6,United States,United States,Full-Time,White,English,United States,Male,No
5fea04c004a1df98660091cf,58cc6e1293dac30001d4abc6,APPROVED,2020-12-28 16:18:23.225000,2020-12-28 16:29:55.418000,692.193,50,1734,2,100,2020-12-28 20:23:42.221000,66C39AD6,United States,United States,Full-Time,Black,English,United States,Male,No
5fea08c4bd6f239a1bebd174,5f872af9e3e4870ef4d67cc3,APPROVED,2020-12-28 16:33:12.095000,2020-12-28 16:49:33.411000,981.316,51,176,1,100,2020-12-28 20:26:22.938000,66C39AD6,United States,United States,Part-Time,Black,DATA EXPIRED,United States,Male,No
5fea0fb41976289a816fa6c9,5e0795cbf9bc33000a747571,APPROVED,2020-12-28 17:02:44.220000,2020-12-28 17:12:09.820000,565.6,49,272,6,97,2020-12-28 20:36:53.627000,66C39AD6,United States,United States,Full-Time,Black,English,United States,Male,No
5fea12470b1a444e32d4283c,5ebe015ae70ab70008895dbd,APPROVED,2020-12-28 17:13:52.355000,2020-12-28 17:18:29.910000,277.555,57,362,2,100,2020-12-28 20:41:00.446000,66C39AD6,Trinidad and Tobago,United States,Full-Time,Black,English,United States,Male,No
